Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Profit Margin %,Order Year,Order Month,Order Quarter,Order Weekday,Factory,Factory Latitude,Factory Longitude,Customer Latitude,Customer Longitude,Distance to Lot's O' Nuts (KM),Distance to Wicked Choccy's (KM),Distance to Sugar Shack (KM),Distance to Secret Factory (KM),Distance to The Other Factory (KM),Nearest Factory,Nearest Factory Distance KM,Reallocation Needed
13,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
14,US-2021-167199-CHO-FUD-51000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,37.8274,-87.5632,2255.92,869.69,1340.16,477.44,370.31,The Other Factory,370.31,True
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2024,1,1,Sunday,Wicked Choccy's,32.076176,-81.088371,30.6448,-95.5798,1548.93,1384.08,1943.73,1282.27,722.0,The Other Factory,722.0,True
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33333333333333,2024,1,1,Sunday,Wicked Choccy's,32.076176,-81.088371,30.6448,-95.5798,1548.93,1384.08,1943.73,1282.27,722.0,The Other Factory,722.0,True
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2024,1,1,Tuesday,Wicked Choccy's,32.076176,-81.088371,27.5569,-99.4907,1318.64,1842.41,2304.26,1745.23,1233.36,The Other Factory,1233.36,True
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Tuesday,Wicked Choccy's,32.076176,-81.088371,27.5569,-99.4907,1318.64,1842.41,2304.26,1745.23,1233.36,The Other Factory,1233.36,True
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2024,1,1,Wednesday,Wicked Choccy's,32.076176,-81.088371,38.7449,-77.237,3161.63,819.35,1843.14,1171.51,1200.31,Wicked Choccy's,819.35,False
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,52.0,2024,1,1,Wednesday,Secret Factory,41.446333,-90.565487,38.7449,-77.237,3161.63,819.35,1843.14,1171.51,1200.31,Wicked Choccy's,819.35,True
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2024,1,1,Thursday,Wicked Choccy's,32.076176,-81.088371,39.1564,-75.4955,3312.96,935.16,1931.01,1301.32,1357.64,Wicked Choccy's,935.16,False
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,37.7917,-122.4186,1108.64,3789.7,2407.54,2742.66,2902.62,Lot's O' Nuts,1108.64,True
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2026-07-09,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,71.34670487106017,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,32.8473,-79.8206,2972.23,146.63,2180.95,1347.45,968.85,Wicked Choccy's,146.63,True
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,37.7917,-122.4186,1108.64,3789.7,2407.54,2742.66,2902.62,Lot's O' Nuts,1108.64,True
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,40.0724,-82.4046,2730.22,896.94,1414.4,703.83,864.27,Secret Factory,703.83,True
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93,True
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9.0,7.6923076923076925,2024,1,1,Saturday,The Other Factory,35.1175,-89.971107,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93,False
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93,True
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,40.0724,-82.4046,2730.22,896.94,1414.4,703.83,864.27,Secret Factory,703.83,True
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93,True
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,37.7917,-122.4186,1108.64,3789.7,2407.54,2742.66,2902.62,Lot's O' Nuts,1108.64,False
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,32.5449,-93.7038,1688.4,1186.02,1744.21,1028.08,447.93,The Other Factory,447.93,True
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2026-07-08,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5.0,4,2.6,2.4,52.0,2024,1,1,Sunday,Secret Factory,41.446333,-90.565487,40.0118,-75.1456,3345.23,1030.94,1898.45,1307.32,1413.25,Wicked Choccy's,1030.94,True
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2026-07-10,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,69.44444444444444,2024,1,1,Monday,Lot's O' Nuts,32.881893,-111.768036,34.0213,-84.3104,2542.94,370.05,1851.95,991.43,532.36,Wicked Choccy's,370.05,True
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,65.33333333333333,2024,1,1,Tuesday,Wicked Choccy's,32.076176,-81.088371,39.9925,-75.1133,3347.91,1030.65,1901.93,1310.46,1415.21,Wicked Choccy's,1030.65,False
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2024,1,1,Tuesday,Lot's O' Nuts,32.881893,-111.768036,39.9925,-75.1133,3347.91,1030.65,1901.93,1310.46,1415.21,Wicked Choccy's,1030.65,True
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Tuesday,Wicked Choccy's,32.076176,-81.088371,39.9925,-75.1133,3347.91,1030.65,1901.93,1310.46,1415.21,Wicked Choccy's,1030.65,False
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2024,1,1,Tuesday,Lot's O' Nuts,32.881893,-111.768036,39.9925,-75.1133,3347.91,1030.65,1901.93,1310.46,1415.21,Wicked Choccy's,1030.65,True
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,71.34670487106017,2024,1,1,Thursday,Lot's O' Nuts,32.881893,-111.768036,44.0611,-123.0153,1579.22,3856.47,2106.51,2648.08,2977.48,Lot's O' Nuts,1579.22,False
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2024,1,1,Friday,Wicked Choccy's,32.076176,-81.088371,33.6165,-111.9554,83.52,2877.98,2079.56,2069.97,2020.6,Lot's O' Nuts,83.52,True
41,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,66.66666666666666,2024,1,1,Friday,Lot's O' Nuts,32.881893,-111.768036,33.6165,-111.9554,83.52,2877.98,2079.56,2069.97,2020.6,Lot's O' Nuts,83.52,False
42,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2024,1,1,Friday,Wicked Choccy's,32.076176,-81.088371,33.6165,-111.9554,83.52,2877.98,2079.56,2069.97,2020.6,Lot's O' Nuts,83.52,True
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.66666666666666,2024,1,1,Friday,Lot's O' Nuts,32.881893,-111.768036,33.6165,-111.9554,83.52,2877.98,2079.56,2069.97,2020.6,Lot's O' Nuts,83.52,False
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
46,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
47,US-2021-147627-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
48,US-2021-148614-CHO-MIL-31000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,34.066,-118.474,635.64,3471.34,2419.75,2573.86,2602.82,Lot's O' Nuts,635.64,True
49,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
50,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33333333333333,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
51,US-2021-147627-CHO-SCR-58000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
52,US-2021-167927-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.34670487106017,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
53,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92307692307693,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
54,US-2021-147774-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,71.34670487106017,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,35.9656,-86.5048,2335.76,660.26,1567.12,703.75,327.48,The Other Factory,327.48,True
55,US-2021-167927-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
56,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
57,US-2021-148614-CHO-SCR-58000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44444444444444,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,34.066,-118.474,635.64,3471.34,2419.75,2573.86,2602.82,Lot's O' Nuts,635.64,False
58,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,66.66666666666666,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
59,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2024,1,1,Saturday,Wicked Choccy's,32.076176,-81.088371,42.3358,-83.3846,2696.02,1158.67,1188.4,602.38,984.52,Secret Factory,602.38,True
60,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,66.66666666666667,2024,1,1,Saturday,Lot's O' Nuts,32.881893,-111.768036,35.833,-90.6965,1957.94,979.09,1438.46,624.28,103.17,The Other Factory,103.17,True
61,US-2021-110422-CHO-TRI-54000,2024-01-21,2026-07-16,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2024,1,1,Sunday,Wicked Choccy's,32.076176,-81.088371,25.9597,-80.1403,3145.65,686.33,2832.77,1970.12,1385.26,Wicked Choccy's,686.33,False
62,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.66666666666666,2024,1,1,Sunday,Lot's O' Nuts,32.881893,-111.768036,43.6641,-79.3889,3045.68,1297.04,1387.29,947.26,1313.22,Secret Factory,947.26,True
63,CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2024,1,1,Sunday,Wicked Choccy's,32.076176,-81.088371,43.6641,-79.3889,3045.68,1297.04,1387.29,947.26,1313.22,Secret Factory,947.26,True
64,CA-2021-115238-CHO-TRI-54000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2024,1,1,Sunday,Wicked Choccy's,32.076176,-81.088371,43.6641,-79.3889,3045.68,1297.04,1387.29,947.26,1313.22,Secret Factory,947.26,True
65,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,66.66666666666666,2024,1,1,Sunday,Lot's O' Nuts,32.881893,-111.768036,43.6641,-79.3889,3045.68,1297.04,1387.29,947.26,1313.22,Secret Factory,947.26,True
