Country/Region,State/Province,City,Postal Code,Region,Customer Latitude,Customer Longitude
United States,California,Moreno Valley,92553,Pacific,33.9157,-117.2351
United States,Texas,El Paso,79907,Interior,31.7089,-106.3293
United States,Oregon,Medford,97504,Pacific,42.3363,-122.8398
United States,Ohio,Columbus,43229,Atlantic,40.0839,-82.9726
United States,Illinois,Elmhurst,60126,Interior,41.8927,-87.941
United States,Washington,Seattle,98115,Pacific,47.6849,-122.2968
United States,Texas,Houston,77036,Interior,29.6984,-95.5405
United States,New York,New York City,10035,Atlantic,40.8011,-73.9371
United States,New York,New York City,10009,Atlantic,40.7262,-73.9796
United States,Pennsylvania,Philadelphia,19120,Atlantic,40.0343,-75.1213
United States,North Carolina,Wilmington,28403,Gulf,34.2237,-77.8862
United States,Florida,Margate,33063,Gulf,26.2674,-80.2092
United States,South Carolina,Columbia,29203,Gulf,34.0635,-81.0265
United States,New York,Yonkers,10701,Atlantic,40.9461,-73.8669
United States,Washington,Des Moines,98198,Pacific,47.3929,-122.3129
United States,Colorado,Denver,80219,Pacific,39.6956,-105.0341
United States,Michigan,Royal Oak,48073,Interior,42.519,-83.157
United States,Kentucky,Richmond,40475,Gulf,37.7546,-84.2955
United States,California,Roseville,95661,Pacific,38.7346,-121.234
Canada,Alberta,Calgary,T2C,Pacific,50.987,-113.9634
United States,California,Huntington Beach,92646,Pacific,33.6654,-117.9686
United States,Utah,Logan,84321,Pacific,41.747,-111.8226
United States,Florida,Jacksonville,32216,Gulf,30.2787,-81.5831
United States,Florida,Tampa,33614,Gulf,28.0091,-82.5034
United States,North Carolina,Raleigh,27604,Gulf,35.8334,-78.5799
United States,Minnesota,Lakeville,55044,Interior,44.6749,-93.2578
United States,Mississippi,Jackson,39212,Gulf,32.2435,-90.2612
United States,Texas,Dallas,75217,Interior,32.7244,-96.6755
United States,California,San Francisco,94110,Pacific,37.7509,-122.4153
United States,California,Burbank,91505,Pacific,34.169,-118.3442
United States,Florida,Lakeland,33801,Gulf,28.0381,-81.9392
United States,Tennessee,Knoxville,37918,Gulf,36.0501,-83.9226
United States,Ohio,Hamilton,45011,Atlantic,39.4059,-84.5221
United States,North Carolina,Asheville,28806,Gulf,35.5808,-82.6078
United States,Arizona,Tucson,85705,Pacific,32.2691,-110.9845
United States,Indiana,Portage,46368,Interior,41.5672,-87.1757
United States,North Carolina,Greensboro,27405,Gulf,36.1214,-79.7733
United States,Florida,Delray Beach,33445,Gulf,26.4564,-80.1054
United States,California,Los Angeles,90036,Pacific,34.0699,-118.3492
United States,California,Fresno,93727,Pacific,36.7528,-119.7061
United States,California,San Francisco,94122,Pacific,37.7593,-122.4836
United States,California,Pomona,91767,Pacific,34.0812,-117.7362
United States,Ohio,Springfield,45503,Atlantic,39.9528,-83.7804
United States,Iowa,Des Moines,50315,Interior,41.5444,-93.6192
United States,New Mexico,Albuquerque,87105,Pacific,35.0448,-106.6893
United States,Texas,Plano,75023,Interior,33.055,-96.7365
United States,Texas,Brownsville,78521,Interior,25.9221,-97.4612
United States,New York,Long Beach,11561,Atlantic,40.5877,-73.6595
United States,Minnesota,Apple Valley,55124,Interior,44.7497,-93.2029
United States,Illinois,Chicago,60610,Interior,41.9033,-87.6336
United States,California,Vallejo,94591,Pacific,38.0985,-122.2124
United States,Massachusetts,Revere,2151,Atlantic,42.4138,-71.0052
United States,Virginia,Virginia Beach,23464,Gulf,36.7978,-76.1759
United States,California,Los Angeles,90008,Pacific,34.0116,-118.3411
United States,Michigan,Detroit,48205,Interior,42.4313,-82.9813
United States,Louisiana,Lafayette,70506,Gulf,30.2077,-92.0656
United States,Michigan,Dearborn Heights,48127,Interior,42.3353,-83.2864
United States,Illinois,Decatur,62521,Interior,39.8395,-88.9465
United States,California,Los Angeles,90004,Pacific,34.0762,-118.3029
United States,Pennsylvania,Lancaster,17602,Atlantic,40.0335,-76.2844
United States,Alabama,Mobile,36608,Gulf,30.6817,-88.2945
United States,Georgia,Marietta,30062,Gulf,34.0025,-84.4633
United States,Alabama,Decatur,35601,Gulf,34.5896,-86.9887
United States,Ohio,Toledo,43615,Atlantic,41.6492,-83.6706
United States,Arizona,Glendale,85301,Pacific,33.5311,-112.1767
United States,Arizona,Chandler,85224,Pacific,33.3301,-111.8632
United States,Idaho,Lewiston,83501,Pacific,46.3646,-116.8609
United States,Montana,Great Falls,59405,Pacific,47.495,-111.2502
United States,Texas,Austin,78745,Interior,30.2063,-97.7956
United States,California,Redondo Beach,90278,Pacific,33.8707,-118.3715
United States,California,Lodi,95240,Pacific,38.1222,-121.2555
United States,Indiana,Bloomington,47401,Interior,39.1401,-86.5083
United States,Maryland,Baltimore,21215,Atlantic,39.3446,-76.6794
United States,California,San Jose,95123,Pacific,37.2458,-121.8306
United States,Virginia,Arlington,22204,Gulf,38.859,-77.0997
United States,California,Los Angeles,90045,Pacific,33.9631,-118.3941
United States,Texas,Houston,77070,Interior,29.9781,-95.5803
United States,New York,Troy,12180,Atlantic,42.7287,-73.6683
United States,California,San Gabriel,91776,Pacific,34.089,-118.0955
United States,New York,Jamestown,14701,Atlantic,42.0928,-79.244
United States,Tennessee,Memphis,38109,Gulf,35.0425,-90.0732
United States,Louisiana,Lake Charles,70601,Gulf,30.2285,-93.188
United States,New York,Rochester,14609,Atlantic,43.174,-77.5637
United States,Kentucky,Louisville,40214,Gulf,38.1593,-85.778
United States,Wisconsin,Appleton,54915,Interior,44.2425,-88.3564
United States,Connecticut,Middletown,6457,Atlantic,41.5569,-72.6652
United States,Michigan,Jackson,49201,Interior,42.2545,-84.3875
United States,Texas,San Antonio,78207,Interior,29.4229,-98.526
United States,Illinois,Freeport,61032,Interior,42.2991,-89.6345
United States,Massachusetts,Lawrence,1841,Atlantic,42.7115,-71.167
Canada,Ontario,Toronto,M3C,Atlantic,43.7334,-79.3329
United States,Washington,Kent,98031,Pacific,47.388,-122.1932
United States,Texas,Fort Worth,76106,Interior,32.7968,-97.356
United States,New York,Watertown,13601,Atlantic,43.9743,-75.9122
United States,Wisconsin,Milwaukee,53209,Interior,43.1188,-87.9478
United States,Massachusetts,Franklin,2038,Atlantic,42.0935,-71.4058
United States,Florida,Hialeah,33012,Gulf,25.8654,-80.3059
United States,Utah,West Jordan,84084,Pacific,40.6254,-111.9677
United States,California,Oakland,94601,Pacific,37.7806,-122.2166
United States,Wisconsin,Eau Claire,54703,Interior,44.8346,-91.5159
United States,Ohio,Akron,44312,Atlantic,41.0334,-81.4385
United States,Ohio,Cleveland,44105,Atlantic,41.4509,-81.619
United States,Michigan,Midland,48640,Interior,43.6376,-84.268
United States,New Hampshire,Dover,3820,Atlantic,43.1888,-70.8868
United States,Texas,San Marcos,78666,Interior,29.8754,-97.9404
Canada,British Columbia,Vancouver,V6Z,Pacific,49.2767,-123.13
Canada,Quebec,Montreal,H1A,Atlantic,45.6753,-73.5016
United States,Washington,Bellevue,98006,Pacific,47.5614,-122.1552
United States,Illinois,Chicago,60623,Interior,41.849,-87.7157
United States,Utah,Murray,84107,Pacific,40.6568,-111.8904
United States,California,San Diego,92105,Pacific,32.7423,-117.0947
United States,Illinois,Buffalo Grove,60089,Interior,42.1598,-87.9644
United States,Virginia,Richmond,23223,Gulf,37.5477,-77.3948
United States,Arkansas,Little Rock,72209,Gulf,34.6725,-92.3529
United States,New Jersey,Lakewood,8701,Atlantic,40.085,-74.2042
United States,Utah,Orem,84057,Pacific,40.3134,-111.6953
United States,Illinois,Aurora,60505,Interior,41.7582,-88.2971
United States,Illinois,Peoria,61604,Interior,40.7111,-89.6324
United States,Tennessee,Bristol,37620,Gulf,36.5686,-82.1819
United States,California,Los Angeles,90032,Pacific,34.0818,-118.1753
United States,Virginia,Harrisonburg,22801,Gulf,38.4489,-78.8714
United States,Indiana,Mishawaka,46544,Interior,41.6507,-86.1623
United States,New York,Hempstead,11550,Atlantic,40.7049,-73.6176
United States,Delaware,Newark,19711,Atlantic,39.7011,-75.7375
Canada,Nova Scotia,Halifax,B3H,Atlantic,44.6344,-63.5822
United States,Oklahoma,Lawton,73505,Interior,34.6179,-98.4552
United States,Virginia,Waynesboro,22980,Gulf,38.0774,-78.9035
United States,Connecticut,Meriden,6450,Atlantic,41.5334,-72.7997
United States,Colorado,Pueblo,81001,Pacific,38.2879,-104.5848
United States,Pennsylvania,Chester,19013,Atlantic,39.8498,-75.3747
United States,Arizona,Phoenix,85023,Pacific,33.6324,-112.1118
United States,Minnesota,Minneapolis,55407,Interior,44.9378,-93.2545
United States,Colorado,Louisville,80027,Pacific,39.9789,-105.1456
United States,North Carolina,Concord,28027,Gulf,35.4141,-80.6162
United States,Oregon,Salem,97301,Pacific,44.949,-123.004
United States,Mississippi,Southaven,38671,Gulf,34.9771,-89.9992
United States,Ohio,Cincinnati,45231,Atlantic,39.2418,-84.5437
United States,New York,New York City,10011,Atlantic,40.7402,-73.9996
United States,Florida,Deltona,32725,Gulf,28.8989,-81.2473
United States,New Jersey,Plainfield,7060,Atlantic,40.6152,-74.415
United States,Colorado,Aurora,80013,Pacific,39.6575,-104.7846
United States,Florida,Palm Coast,32137,Gulf,29.5565,-81.219
United States,California,El Cajon,92020,Pacific,32.7928,-116.9665
United States,New York,Buffalo,14215,Atlantic,42.9335,-78.8115
United States,New Jersey,Hackensack,7601,Atlantic,40.8882,-74.0503
United States,New York,Niagara Falls,14304,Atlantic,43.0908,-78.9644
United States,Texas,League City,77573,Interior,29.5173,-95.0963
United States,South Dakota,Sioux Falls,57103,Interior,43.5374,-96.6864
United States,New York,New Rochelle,10801,Atlantic,40.9166,-73.7877
United States,Connecticut,Bristol,6010,Atlantic,41.6823,-72.9302
United States,California,Riverside,92503,Pacific,33.9208,-117.4589
United States,Nebraska,Omaha,68104,Interior,41.2919,-95.9999
United States,Georgia,Atlanta,30318,Gulf,33.7865,-84.4454
United States,Utah,Draper,84020,Pacific,40.5046,-111.881
United States,Florida,Apopka,32712,Gulf,28.712,-81.5136
United States,North Carolina,Charlotte,28205,Gulf,35.22,-80.7881
United States,Missouri,Springfield,65807,Interior,37.1668,-93.3085
United States,Maine,Bangor,4401,Atlantic,44.8242,-68.7918
United States,Utah,Pleasant Grove,84062,Pacific,40.372,-111.7333
United States,Texas,Texas City,77590,Interior,29.397,-94.9203
United States,Michigan,Trenton,48183,Interior,42.1382,-83.2179
United States,California,Vacaville,95687,Pacific,38.3482,-121.9538
Canada,Ontario,Toronto,M5H,Atlantic,43.6496,-79.3833
United States,Georgia,Woodstock,30188,Gulf,34.106,-84.5117
United States,Florida,Hollywood,33021,Gulf,26.0218,-80.1891
United States,Connecticut,Fairfield,6824,Atlantic,41.1692,-73.2681
United States,Texas,Dallas,75081,Interior,32.9462,-96.7058
United States,Georgia,Columbus,31907,Gulf,32.4779,-84.898
Canada,Quebec,Montreal,H1B,Atlantic,45.632,-73.5075
United States,Virginia,Hampton,23666,Gulf,37.0462,-76.4096
United States,Ohio,Lakewood,44107,Atlantic,41.4847,-81.8018
United States,Missouri,Saint Charles,63301,Interior,38.8014,-90.5065
United States,Florida,North Miami,33161,Gulf,25.8934,-80.1758
United States,Michigan,Grand Rapids,49505,Interior,43.012,-85.6309
United States,New York,Oceanside,11572,Atlantic,40.6362,-73.6375
United States,Montana,Billings,59102,Pacific,45.7813,-108.5727
United States,Kentucky,Owensboro,42301,Gulf,37.7513,-87.1554
United States,Florida,Miami,33178,Gulf,25.8141,-80.3549
United States,New Mexico,Santa Fe,87505,Pacific,35.6219,-105.8688
United States,Arkansas,Fayetteville,72701,Gulf,36.052,-94.1534
United States,Ohio,Bowling Green,43402,Atlantic,41.3815,-83.6507
United States,Oklahoma,Tulsa,74133,Interior,36.0467,-95.8841
United States,Illinois,Oswego,60543,Interior,41.6849,-88.3453
United States,California,Santa Clara,95051,Pacific,37.3483,-121.9844
United States,Washington,Pasco,99301,Pacific,46.2492,-119.1044
United States,Texas,Tyler,75701,Interior,32.3254,-95.2922
United States,Georgia,Macon,31204,Gulf,32.8424,-83.6766
United States,Massachusetts,Lowell,1852,Atlantic,42.6344,-71.2983
United States,Ohio,Lancaster,43130,Atlantic,39.7187,-82.6031
United States,Michigan,Detroit,48227,Interior,42.3883,-83.1937
United States,North Carolina,Greenville,27834,Gulf,35.6192,-77.3975
United States,Oregon,Gresham,97030,Pacific,45.5154,-122.4203
United States,New Jersey,Clifton,7011,Atlantic,40.8789,-74.1425
Canada,Quebec,Montreal,H1C,Atlantic,45.6656,-73.5367
United States,California,Oxnard,93030,Pacific,34.2141,-119.175
United States,Kansas,Olathe,66062,Interior,38.8733,-94.7752
United States,North Carolina,Cary,27511,Gulf,35.7641,-78.7786
United States,Ohio,Fairfield,45014,Atlantic,39.3266,-84.5479
United States,Texas,Odessa,79762,Interior,31.889,-102.3548
United States,Arizona,Tempe,85281,Pacific,33.4227,-111.9261
United States,Texas,Corpus Christi,78415,Interior,27.7262,-97.4078
United States,California,Chula Vista,91911,Pacific,32.6084,-117.0565
United States,California,Long Beach,90805,Pacific,33.8635,-118.1801
United States,Maryland,Columbia,21044,Atlantic,39.2141,-76.8788
United States,Illinois,Bloomington,61701,Interior,40.4783,-88.9893
Canada,Ontario,Toronto,M2N,Atlantic,43.7673,-79.4111
United States,Texas,Garland,75043,Interior,32.8565,-96.5999
United States,Florida,Boca Raton,33433,Gulf,26.3464,-80.1564
United States,Texas,Houston,77041,Interior,29.8602,-95.5817
United States,Texas,Mesquite,75150,Interior,32.8154,-96.6307
United States,North Carolina,Fayetteville,28314,Gulf,35.0583,-79.008
United States,Tennessee,Clarksville,37042,Gulf,36.5853,-87.4186
United States,Florida,Boynton Beach,33437,Gulf,26.5312,-80.1418
United States,Nevada,Reno,89502,Pacific,39.4972,-119.7764
United States,Illinois,Evanston,60201,Interior,42.0546,-87.6943
United States,North Carolina,Durham,27707,Gulf,35.9631,-78.9315
Canada,Alberta,Calgary,T1Y,Pacific,51.0823,-113.9578
Canada,Alberta,Edmonton,T5A,Pacific,53.5931,-113.4077
United States,Indiana,Indianapolis,46203,Interior,39.743,-86.1179
United States,North Carolina,Jacksonville,28540,Gulf,34.7375,-77.4628
United States,California,Manteca,95336,Pacific,37.8134,-121.2132
United States,California,Pasadena,91104,Pacific,34.1678,-118.1261
United States,Washington,Edmonds,98026,Pacific,47.8353,-122.327
United States,New York,Mount Vernon,10550,Atlantic,40.9079,-73.838
United States,Massachusetts,Everett,2149,Atlantic,42.4112,-71.0514
United States,New Hampshire,Concord,3301,Atlantic,43.2185,-71.5277
United States,Ohio,Parma,44134,Atlantic,41.3853,-81.7044
United States,Texas,Beaumont,77705,Interior,30.0211,-94.1157
United States,Alabama,Montgomery,36116,Gulf,32.3129,-86.2421
United States,Arkansas,Texarkana,71854,Gulf,33.431,-93.8765
United States,California,Lakewood,90712,Pacific,33.8512,-118.1457
Canada,British Columbia,Vancouver,V6G,Pacific,49.299,-123.1408
United States,Virginia,Newport News,23602,Gulf,37.1132,-76.5179
United States,California,Rancho Cucamonga,91730,Pacific,34.107,-117.5941
United States,South Carolina,Rock Hill,29730,Gulf,34.9151,-81.0129
United States,Florida,Fort Lauderdale,33311,Gulf,26.1421,-80.1728
United States,Kansas,Garden City,67846,Interior,37.9769,-100.8621
United States,Indiana,Columbus,47201,Interior,39.2055,-85.9317
United States,Rhode Island,Cranston,2920,Atlantic,41.7716,-71.4659
United States,Ohio,Lorain,44052,Atlantic,41.4578,-82.171
United States,Arizona,Avondale,85323,Pacific,33.4321,-112.3438
United States,Ohio,Mason,45040,Atlantic,39.3357,-84.3149
United States,New Jersey,Orange,7050,Atlantic,40.7692,-74.2355
United States,Oregon,Portland,97206,Pacific,45.484,-122.5973
United States,Ohio,Medina,44256,Atlantic,41.1404,-81.8584
United States,Texas,Irving,75061,Interior,32.8267,-96.9633
United States,Tennessee,Nashville,37211,Gulf,36.0725,-86.724
United States,Wisconsin,Wausau,54401,Interior,44.9654,-89.7066
United States,California,Redding,96003,Pacific,40.6278,-122.353
United States,Pennsylvania,Reading,19601,Atlantic,40.3466,-75.9351
United States,Wisconsin,Madison,53711,Interior,43.0356,-89.4526
United States,Texas,Carrollton,75007,Interior,33.0033,-96.882
United States,Texas,Pasadena,77506,Interior,29.7009,-95.1989
United States,Tennessee,Johnson City,37604,Gulf,36.3107,-82.381
United States,Kansas,Manhattan,66502,Interior,39.1938,-96.5858
United States,Minnesota,Moorhead,56560,Interior,46.8677,-96.7572
United States,Texas,Cedar Hill,75104,Interior,32.5885,-96.9438
United States,Illinois,Des Plaines,60016,Interior,42.0467,-87.8859
United States,Wisconsin,Franklin,53132,Interior,42.9017,-88.0086
United States,Utah,Provo,84604,Pacific,40.2607,-111.6549
United States,Delaware,Wilmington,19805,Atlantic,39.7434,-75.5827
United States,Utah,Salt Lake City,84106,Pacific,40.7056,-111.8548
United States,Minnesota,Coon Rapids,55433,Interior,45.1643,-93.3193
United States,Louisiana,Monroe,71203,Gulf,32.553,-92.0422
United States,Illinois,Bolingbrook,60440,Interior,41.6976,-88.0873
United States,California,Sacramento,95823,Pacific,38.4797,-121.4438
United States,Missouri,Saint Louis,63116,Interior,38.5814,-90.2625
Canada,Newfoundland and Labrador,St. John's,A0A,Atlantic,47.2195,-53.1448
United States,Rhode Island,Woonsocket,2895,Atlantic,41.9846,-71.5194
United States,California,Brentwood,94513,Pacific,37.9324,-121.6894
United States,New York,Utica,13501,Atlantic,43.0871,-75.2315
United States,Oregon,Tigard,97224,Pacific,45.4094,-122.8014
United States,New York,Freeport,11520,Atlantic,40.6536,-73.5866
United States,Illinois,Skokie,60076,Interior,42.0362,-87.7328
United States,Florida,Orlando,32839,Gulf,28.4871,-81.4082
United States,Maryland,Clinton,20735,Atlantic,38.7549,-76.9026
United States,Georgia,Sandy Springs,30328,Gulf,33.9335,-84.3958
Canada,New Brunswick,Moncton,E1A,Atlantic,46.0967,-64.7087
United States,Oklahoma,Oklahoma City,73120,Interior,35.5835,-97.5638
Canada,British Columbia,Vancouver,V6B,Pacific,49.2788,-123.1139
United States,Arizona,Gilbert,85234,Pacific,33.3527,-111.7809
United States,Washington,Olympia,98502,Pacific,47.1043,-123.0552
United States,Arizona,Mesa,85204,Pacific,33.3992,-111.7896
United States,Idaho,Caldwell,83605,Pacific,43.6627,-116.7
United States,Ohio,Marion,43302,Atlantic,40.5876,-83.1271
United States,Alabama,Florence,35630,Gulf,34.8305,-87.656
United States,Tennessee,Columbia,38401,Gulf,35.6156,-87.038
United States,Texas,Grand Prairie,75051,Interior,32.7115,-97.0069
United States,Colorado,Thornton,80229,Pacific,39.8671,-104.9227
Canada,British Columbia,Vancouver,V5K,Pacific,49.2807,-123.0397
United States,Texas,Port Arthur,77642,Interior,29.9212,-93.927
United States,Colorado,Colorado Springs,80906,Pacific,38.7902,-104.8199
United States,Massachusetts,Beverly,1915,Atlantic,42.5608,-70.8759
United States,California,Anaheim,92804,Pacific,33.8186,-117.9729
United States,Illinois,Saint Charles,60174,Interior,41.9194,-88.307
United States,Ohio,Kent,44240,Atlantic,41.1449,-81.3498
United States,Minnesota,Cottage Grove,55016,Interior,44.8308,-92.9393
Canada,Quebec,Quebec City,G1B,Atlantic,46.9263,-71.2258
United States,Michigan,Taylor,48180,Interior,42.2317,-83.2673
Canada,Prince Edward Island,Charlottetown,C0A,Atlantic,46.1668,-62.6487
United States,Rhode Island,Providence,2908,Atlantic,41.8383,-71.4377
United States,Texas,Baytown,77520,Interior,29.7461,-94.9653
United States,Minnesota,Woodbury,55125,Interior,44.9197,-92.9439
United States,Illinois,Park Ridge,60068,Interior,42.0122,-87.8417
United States,Tennessee,Bartlett,38134,Gulf,35.1845,-89.8574
United States,Montana,Bozeman,59715,Pacific,45.6693,-111.0431
United States,Florida,West Palm Beach,33407,Gulf,26.7492,-80.0725
United States,New York,Rome,13440,Atlantic,43.2193,-75.4498
United States,Virginia,Suffolk,23434,Gulf,36.7304,-76.5931
United States,Wisconsin,Kenosha,53142,Interior,42.556,-87.8705
United States,New Jersey,Perth Amboy,8861,Atlantic,40.5176,-74.2754
United States,Arkansas,Hot Springs,71901,Gulf,34.5268,-92.9587
United States,New Mexico,Las Cruces,88001,Pacific,32.2901,-106.7539
United States,Michigan,Sterling Heights,48310,Interior,42.5648,-83.0701
United States,Massachusetts,Leominster,1453,Atlantic,42.5274,-71.7563
United States,Pennsylvania,Altoona,16602,Atlantic,40.5052,-78.3905
United States,Texas,Coppell,75019,Interior,32.9673,-96.9805
United States,Pennsylvania,Bethlehem,18018,Atlantic,40.6278,-75.3928
United States,Indiana,New Castle,47362,Interior,39.9208,-85.3663
United States,Florida,Plantation,33317,Gulf,26.1122,-80.2264
United States,California,Chico,95928,Pacific,39.7224,-121.8113
United States,Utah,Lehi,84043,Pacific,40.3958,-111.8506
United States,Alabama,Auburn,36830,Gulf,32.5475,-85.4682
United States,California,San Bernardino,92404,Pacific,34.1426,-117.2606
United States,California,Lancaster,93534,Pacific,34.6909,-118.1491
United States,Alabama,Huntsville,35810,Gulf,34.7784,-86.6091
United States,California,Thousand Oaks,91360,Pacific,34.2092,-118.8739
United States,South Carolina,Florence,29501,Gulf,34.1838,-79.7728
United States,Washington,Covington,98042,Pacific,47.368,-122.1206
United States,Florida,Coral Springs,33065,Gulf,26.2729,-80.2603
United States,Florida,Miami,33142,Gulf,25.813,-80.232
United States,Illinois,Normal,61761,Interior,40.5124,-88.9883
United States,Michigan,Lansing,48911,Interior,42.6797,-84.5772
United States,Washington,Spokane,99207,Pacific,47.6977,-117.3746
United States,Connecticut,Norwich,6360,Atlantic,41.5371,-72.0849
United States,Nebraska,Norfolk,68701,Interior,42.0329,-97.4229
United States,New Mexico,Farmington,87401,Pacific,36.7412,-108.1797
United States,Texas,Mcallen,78501,Interior,26.2154,-98.2359
United States,Indiana,New Albany,47150,Interior,38.3089,-85.8221
United States,California,Santa Maria,93454,Pacific,34.9545,-120.4325
United States,Florida,Daytona Beach,32114,Gulf,29.2012,-81.0371
United States,District of Columbia,Washington,20016,Atlantic,38.9381,-77.086
United States,Ohio,Troy,45373,Atlantic,40.0374,-84.2032
United States,Illinois,Tinley Park,60477,Interior,41.5825,-87.805
United States,Texas,Allen,75002,Interior,33.0934,-96.6454
United States,Ohio,Cuyahoga Falls,44221,Atlantic,41.1401,-81.479
United States,California,Camarillo,93010,Pacific,34.2313,-119.0464
United States,North Carolina,Wilson,27893,Gulf,35.727,-77.9227
United States,Illinois,Frankfort,60423,Interior,41.5094,-87.8248
United States,Kansas,Wichita,67212,Interior,37.7007,-97.4383
United States,Texas,Haltom City,76117,Interior,32.8087,-97.2709
United States,Connecticut,Manchester,6040,Atlantic,41.7777,-72.5244
United States,New Jersey,Paterson,7501,Atlantic,40.9143,-74.1671
United States,Idaho,Pocatello,83201,Pacific,42.8876,-112.4381
United States,Maine,Lewiston,4240,Atlantic,44.0985,-70.1916
United States,Arizona,Peoria,85345,Pacific,33.5761,-112.2344
United States,Utah,Layton,84041,Pacific,41.0879,-111.9704
United States,Georgia,East Point,30344,Gulf,33.6919,-84.448
United States,Georgia,Smyrna,30080,Gulf,33.8796,-84.5023
United States,Illinois,Carol Stream,60188,Interior,41.9178,-88.137
United States,Massachusetts,Holyoke,1040,Atlantic,42.202,-72.6262
United States,New Jersey,Vineland,8360,Atlantic,39.4818,-75.0091
United States,Texas,Amarillo,79109,Interior,35.1663,-101.8868
United States,California,Bakersfield,93309,Pacific,35.3384,-119.0627
United States,Florida,Port Saint Lucie,34952,Gulf,27.2889,-80.298
United States,Illinois,Highland Park,60035,Interior,42.1794,-87.8059
United States,Indiana,South Bend,46614,Interior,41.6255,-86.2433
United States,Mississippi,Hattiesburg,39401,Gulf,31.3146,-89.3065
United States,Missouri,Kirkwood,63122,Interior,38.5781,-90.4256
United States,Idaho,Boise,83704,Pacific,43.633,-116.2951
United States,Oregon,Redmond,97756,Pacific,44.2767,-121.1896
United States,Minnesota,Eagan,55122,Interior,44.786,-93.2202
United States,California,Yucaipa,92399,Pacific,34.0282,-117.0489
United States,Massachusetts,New Bedford,2740,Atlantic,41.6347,-70.9372
United States,Kentucky,Florence,41042,Gulf,38.9941,-84.642
United States,Pennsylvania,Allentown,18103,Atlantic,40.5891,-75.4645
United States,California,Murrieta,92563,Pacific,33.569,-117.1783
United States,Texas,Bedford,76021,Interior,32.8536,-97.1358
United States,Michigan,Holland,49423,Interior,42.7692,-86.1164
United States,Virginia,Charlottesville,22901,Gulf,38.0936,-78.5611
United States,Minnesota,Rochester,55901,Interior,44.0496,-92.4896
