Country/Region,State/Province,City,Postal Code,Region,Customer Latitude,Customer Longitude,Distance to Lot's O' Nuts (KM),Distance to Wicked Choccy's (KM),Distance to Sugar Shack (KM),Distance to Secret Factory (KM),Distance to The Other Factory (KM),Nearest Factory,Nearest Factory Distance KM
United States,California,Mission Viejo,92691,Pacific,33.6128,-117.6622,554.03,3403.24,2406.55,2530.52,2539.01,Lot's O' Nuts,554.03
United States,Wisconsin,Green Bay,54302,Interior,44.5025,-87.9771,2421.99,1505.47,746.91,399.74,1057.28,Secret Factory,399.74
United States,Florida,Saint Petersburg,33710,Gulf,27.7898,-82.7243,2834.82,501.99,2541.26,1677.68,1065.31,Wicked Choccy's,501.99
United States,Washington,Seattle,98105,Pacific,47.6633,-122.3022,1866.88,3861.84,1938.89,2587.82,3006.3,Lot's O' Nuts,1866.88
United States,California,Escondido,92025,Pacific,33.1101,-117.07,495.06,3356.25,2412.94,2509.1,2497.02,Lot's O' Nuts,495.06
United States,California,San Diego,92024,Pacific,33.0535,-117.2689,513.47,3375.48,2429.7,2528.34,2516.49,Lot's O' Nuts,513.47
United States,Illinois,Romeoville,60441,Interior,41.593,-88.0507,2302.19,1225.25,967.07,209.99,739.2,Secret Factory,209.99
United States,Virginia,Chesapeake,23320,Gulf,36.7352,-76.2384,3253.26,682.69,2058.7,1340.73,1248.43,Wicked Choccy's,682.69
United States,New Jersey,Linden,7036,Atlantic,40.6354,-74.2556,3423.32,1130.59,1922.0,1368.81,1506.79,Wicked Choccy's,1130.59
United States,Nevada,North Las Vegas,89031,Pacific,36.2589,-115.1718,487.91,3153.65,2036.34,2199.1,2273.08,Lot's O' Nuts,487.91
United States,Missouri,Columbia,65203,Interior,38.9348,-92.3639,1868.06,1272.43,1066.25,318.3,474.6,Secret Factory,318.3
United States,California,Concord,94521,Pacific,37.9575,-121.975,1082.51,3749.92,2365.32,2699.89,2862.54,Lot's O' Nuts,1082.51
United States,Washington,Seattle,98103,Pacific,47.6733,-122.3426,1869.43,3865.03,1941.64,2590.91,3009.52,Lot's O' Nuts,1869.43
United States,Texas,Dallas,75220,Interior,32.8681,-96.8622,1390.86,1480.98,1696.8,1104.32,682.57,The Other Factory,682.57
United States,Illinois,Chicago,60653,Interior,41.8196,-87.6126,2344.38,1227.85,970.98,248.88,772.92,Secret Factory,248.88
United States,Texas,Lubbock,79424,Interior,33.5159,-101.9344,917.34,1951.78,1693.2,1333.54,1112.33,Lot's O' Nuts,917.34
United States,Texas,Arlington,76017,Interior,32.6555,-97.1599,1365.0,1509.38,1721.44,1138.43,717.6,The Other Factory,717.6
United States,Indiana,Richmond,47374,Interior,39.8324,-84.8936,2516.45,927.72,1287.71,511.0,689.4,Secret Factory,511.0
United States,Illinois,Woodstock,60098,Interior,42.3198,-88.4477,2296.45,1311.1,883.85,200.42,811.65,Secret Factory,200.42
United States,California,Moreno Valley,92553,Pacific,33.9157,-117.2351,520.3,3359.92,2355.16,2479.89,2493.73,Lot's O' Nuts,520.3
United States,Texas,El Paso,79907,Interior,31.7089,-106.3293,527.51,2377.86,2015.44,1771.06,1562.88,Lot's O' Nuts,527.51
United States,Oregon,Medford,97504,Pacific,42.3363,-122.8398,1431.52,3827.07,2171.92,2657.26,2941.74,Lot's O' Nuts,1431.52
United States,Ohio,Columbus,43229,Atlantic,40.0839,-82.9726,2682.53,906.31,1378.89,656.92,827.2,Secret Factory,656.92
United States,Illinois,Elmhurst,60126,Interior,41.8927,-87.941,2320.88,1248.73,947.11,223.56,773.73,Secret Factory,223.56
United States,Washington,Seattle,98115,Pacific,47.6849,-122.2968,1868.7,3861.93,1938.02,2587.57,3006.57,Lot's O' Nuts,1868.7
United States,Texas,Houston,77036,Interior,29.6984,-95.5405,1580.3,1403.06,2049.02,1380.97,797.46,The Other Factory,797.46
United States,New York,New York City,10035,Atlantic,40.8011,-73.9371,3450.93,1161.12,1934.67,1392.53,1538.18,Wicked Choccy's,1161.12
United States,New York,New York City,10009,Atlantic,40.7262,-73.9796,3447.0,1152.26,1936.11,1390.23,1532.08,Wicked Choccy's,1152.26
United States,Pennsylvania,Philadelphia,19120,Atlantic,40.0343,-75.1213,3347.39,1034.17,1898.69,1308.83,1415.99,Wicked Choccy's,1034.17
United States,North Carolina,Wilmington,28403,Gulf,34.2237,-77.8862,3128.83,381.92,2164.62,1370.52,1108.94,Wicked Choccy's,381.92
United States,Florida,Margate,33063,Gulf,26.2674,-80.2092,3126.75,651.51,2798.92,1936.45,1354.84,Wicked Choccy's,651.51
United States,South Carolina,Columbia,29203,Gulf,34.0635,-81.0265,2843.69,221.06,2006.22,1172.12,826.83,Wicked Choccy's,221.06
United States,New York,Yonkers,10701,Atlantic,40.9461,-73.8669,3457.56,1177.67,1931.1,1396.1,1549.08,Wicked Choccy's,1177.67
United States,Washington,Des Moines,98198,Pacific,47.3929,-122.3129,1841.91,3856.74,1945.75,2586.85,2999.04,Lot's O' Nuts,1841.91
United States,Colorado,Denver,80219,Pacific,39.6956,-105.0341,968.0,2308.75,1173.21,1235.97,1422.3,Lot's O' Nuts,968.0
United States,Michigan,Royal Oak,48073,Interior,42.519,-83.157,2718.98,1175.41,1191.27,623.65,1012.06,Secret Factory,623.65
United States,Kentucky,Richmond,40475,Gulf,37.7546,-84.2955,2541.03,695.71,1501.21,675.77,586.16,The Other Factory,586.16
United States,California,Roseville,95661,Pacific,38.7346,-121.234,1072.37,3682.69,2262.14,2612.47,2794.16,Lot's O' Nuts,1072.37
Canada,Alberta,Calgary,T2C,Pacific,50.987,-113.9634,2021.14,3404.3,1318.23,2076.23,2607.67,Sugar Shack,1318.23
United States,California,Huntington Beach,92646,Pacific,33.6654,-117.9686,582.89,3430.62,2421.06,2552.84,2565.63,Lot's O' Nuts,582.89
United States,Utah,Logan,84321,Pacific,41.747,-111.8226,985.77,2917.1,1416.73,1763.46,2034.05,Lot's O' Nuts,985.77
United States,Florida,Jacksonville,32216,Gulf,30.2787,-81.5831,2864.24,205.34,2340.03,1480.35,951.01,Wicked Choccy's,205.34
United States,Florida,Tampa,33614,Gulf,28.0091,-82.5034,2847.69,472.29,2527.73,1664.01,1060.09,Wicked Choccy's,472.29
United States,North Carolina,Raleigh,27604,Gulf,35.8334,-78.5799,3049.53,477.52,1986.94,1212.07,1033.99,Wicked Choccy's,477.52
United States,Minnesota,Lakeville,55044,Interior,44.6749,-93.2578,2063.63,1753.05,443.69,420.33,1098.84,Secret Factory,420.33
United States,Mississippi,Jackson,39212,Gulf,32.2435,-90.2612,2013.29,863.41,1834.12,1023.66,320.7,The Other Factory,320.7
United States,Texas,Dallas,75217,Interior,32.7244,-96.6755,1409.51,1463.85,1712.32,1110.26,673.22,The Other Factory,673.22
United States,California,San Francisco,94110,Pacific,37.7509,-122.4153,1106.37,3789.66,2410.03,2743.83,2902.66,Lot's O' Nuts,1106.37
United States,California,Burbank,91505,Pacific,34.169,-118.3442,626.04,3458.11,2403.22,2558.04,2588.97,Lot's O' Nuts,626.04
United States,Florida,Lakeland,33801,Gulf,28.0381,-81.9392,2899.3,456.41,2547.79,1684.28,1093.96,Wicked Choccy's,456.41
United States,Tennessee,Knoxville,37918,Gulf,36.0501,-83.9226,2568.08,513.18,1676.17,831.29,556.62,Wicked Choccy's,513.18
United States,Ohio,Hamilton,45011,Atlantic,39.4059,-84.5221,2540.7,871.76,1344.46,559.44,677.91,Secret Factory,559.44
United States,North Carolina,Asheville,28806,Gulf,35.5808,-82.6078,2687.69,414.18,1785.46,950.39,669.64,Wicked Choccy's,414.18
United States,Arizona,Tucson,85705,Pacific,32.2691,-110.9845,100.17,2804.7,2156.77,2076.06,1965.91,Lot's O' Nuts,100.17
United States,Indiana,Portage,46368,Interior,41.5672,-87.1757,2371.11,1185.52,1015.96,282.57,757.36,Secret Factory,282.57
United States,North Carolina,Greensboro,27405,Gulf,36.1214,-79.7733,2940.62,465.81,1892.71,1105.79,928.08,Wicked Choccy's,465.81
United States,Florida,Delray Beach,33445,Gulf,26.4564,-80.1054,3128.87,632.11,2784.48,1922.42,1345.95,Wicked Choccy's,632.11
United States,California,Los Angeles,90036,Pacific,34.0699,-118.3492,624.41,3459.88,2411.58,2563.41,2591.44,Lot's O' Nuts,624.41
United States,California,Fresno,93727,Pacific,36.7528,-119.7061,842.39,3556.28,2292.94,2555.45,2672.55,Lot's O' Nuts,842.39
United States,California,San Francisco,94122,Pacific,37.7593,-122.4836,1112.18,3795.6,2414.27,2749.22,2908.58,Lot's O' Nuts,1112.18
United States,California,Pomona,91767,Pacific,34.0812,-117.7362,569.25,3403.66,2372.39,2512.5,2535.72,Lot's O' Nuts,569.25
United States,Ohio,Springfield,45503,Atlantic,39.9528,-83.7804,2612.35,908.56,1341.28,595.43,765.8,Secret Factory,595.43
United States,Iowa,Des Moines,50315,Interior,41.5444,-93.6192,1867.99,1530.85,758.36,254.55,782.08,Secret Factory,254.55
United States,New Mexico,Albuquerque,87105,Pacific,35.0448,-106.6893,526.42,2388.35,1692.72,1574.29,1519.5,Lot's O' Nuts,526.42
United States,Texas,Plano,75023,Interior,33.055,-96.7365,1401.22,1469.09,1675.7,1080.46,663.72,The Other Factory,663.72
United States,Texas,Brownsville,78521,Interior,25.9221,-97.4612,1585.15,1730.61,2470.72,1838.73,1248.11,The Other Factory,1248.11
United States,New York,Long Beach,11561,Atlantic,40.5877,-73.6595,3473.4,1155.96,1967.16,1419.33,1552.86,Wicked Choccy's,1155.96
United States,Minnesota,Apple Valley,55124,Interior,44.7497,-93.2029,2071.81,1756.49,438.63,425.12,1105.67,Secret Factory,425.12
United States,Illinois,Chicago,60610,Interior,41.9033,-87.6336,2345.48,1236.77,962.82,248.74,781.39,Secret Factory,248.74
United States,California,Vallejo,94591,Pacific,38.0985,-122.2124,1108.25,3770.0,2372.67,2714.8,2882.35,Lot's O' Nuts,1108.25
United States,Massachusetts,Revere,2151,Atlantic,42.4138,-71.0052,3702.99,1453.02,2059.06,1618.1,1828.01,Wicked Choccy's,1453.02
United States,Virginia,Virginia Beach,23464,Gulf,36.7978,-76.1759,3258.45,691.59,2057.86,1342.5,1254.5,Wicked Choccy's,691.59
United States,California,Los Angeles,90008,Pacific,34.0116,-118.3411,622.54,3459.92,2415.82,2565.68,2591.92,Lot's O' Nuts,622.54
United States,Michigan,Detroit,48205,Interior,42.4313,-82.9813,2730.71,1163.47,1208.66,636.57,1013.37,Secret Factory,636.57
United States,Louisiana,Lafayette,70506,Gulf,30.2077,-92.0656,1887.74,1064.65,2022.25,1256.92,580.04,The Other Factory,580.04
United States,Michigan,Dearborn Heights,48127,Interior,42.3353,-83.2864,2703.86,1157.13,1194.87,610.39,989.42,Secret Factory,610.39
United States,Illinois,Decatur,62521,Interior,39.8395,-88.9465,2177.52,1114.98,1086.4,224.9,532.78,Secret Factory,224.9
United States,California,Los Angeles,90004,Pacific,34.0762,-118.3029,620.34,3455.56,2408.17,2559.29,2587.12,Lot's O' Nuts,620.34
United States,Pennsylvania,Lancaster,17602,Atlantic,40.0335,-76.2844,3248.45,984.17,1818.33,1211.98,1322.35,Wicked Choccy's,984.17
United States,Alabama,Mobile,36608,Gulf,30.6817,-88.2945,2227.6,701.29,2051.26,1214.12,517.45,The Other Factory,517.45
United States,Georgia,Marietta,30062,Gulf,34.0025,-84.4633,2529.08,380.55,1847.07,985.86,519.3,Wicked Choccy's,380.55
United States,Alabama,Decatur,35601,Gulf,34.5896,-86.9887,2293.46,615.14,1685.91,824.1,278.39,The Other Factory,278.39
United States,Ohio,Toledo,43615,Atlantic,41.6492,-83.6706,2655.87,1088.83,1217.8,574.07,909.96,Secret Factory,574.07
United States,Arizona,Glendale,85301,Pacific,33.5311,-112.1767,81.59,2899.28,2099.01,2092.43,2042.55,Lot's O' Nuts,81.59
United States,Arizona,Chandler,85224,Pacific,33.3301,-111.8632,50.62,2872.51,2101.1,2079.31,2018.49,Lot's O' Nuts,50.62
United States,Idaho,Lewiston,83501,Pacific,46.3646,-116.8609,1560.5,3427.36,1568.44,2165.4,2569.52,Lot's O' Nuts,1560.5
United States,Montana,Great Falls,59405,Pacific,47.495,-111.2502,1625.49,3064.96,1125.71,1766.96,2235.33,Sugar Shack,1125.71
United States,Texas,Austin,78745,Interior,30.2063,-97.7956,1355.97,1601.93,1996.56,1408.29,913.1,The Other Factory,913.1
United States,California,Redondo Beach,90278,Pacific,33.8707,-118.3715,622.83,3464.64,2429.23,2575.31,2597.65,Lot's O' Nuts,622.83
United States,California,Lodi,95240,Pacific,38.1222,-121.2555,1036.95,3686.24,2303.92,2634.31,2798.61,Lot's O' Nuts,1036.95
United States,Indiana,Bloomington,47401,Interior,39.1401,-86.5083,2367.23,925.32,1263.97,429.07,542.4,Secret Factory,429.07
United States,Maryland,Baltimore,21215,Atlantic,39.3446,-76.6794,3211.53,900.61,1837.89,1197.54,1265.58,Wicked Choccy's,900.61
United States,California,San Jose,95123,Pacific,37.2458,-121.8306,1035.62,3741.41,2403.49,2713.55,2855.73,Lot's O' Nuts,1035.62
United States,Virginia,Arlington,22204,Gulf,38.859,-77.0997,3173.79,836.01,1844.0,1178.7,1215.22,Wicked Choccy's,836.01
United States,California,Los Angeles,90045,Pacific,33.9631,-118.3941,626.46,3465.43,2423.1,2572.48,2597.73,Lot's O' Nuts,626.46
United States,Texas,Houston,77070,Interior,29.9781,-95.5803,1567.76,1399.31,2017.84,1352.54,776.23,The Other Factory,776.23
United States,New York,Troy,12180,Atlantic,42.7287,-73.6683,3488.07,1352.41,1848.42,1399.26,1640.53,Wicked Choccy's,1352.41
United States,California,San Gabriel,91776,Pacific,34.089,-118.0955,601.85,3436.42,2394.13,2541.61,2568.08,Lot's O' Nuts,601.85
United States,New York,Jamestown,14701,Atlantic,42.0928,-79.244,3025.14,1125.67,1484.22,940.97,1210.92,Secret Factory,940.97
United States,Tennessee,Memphis,38109,Gulf,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48
United States,Louisiana,Lake Charles,70601,Gulf,30.2285,-93.188,1782.64,1168.92,2005.6,1269.39,621.34,The Other Factory,621.34
United States,New York,Rochester,14609,Atlantic,43.174,-77.5637,3180.21,1272.13,1543.36,1085.09,1392.82,Secret Factory,1085.09
United States,Kentucky,Louisville,40214,Gulf,38.1593,-85.778,2415.51,799.38,1389.81,548.33,504.25,The Other Factory,504.25
United States,Wisconsin,Appleton,54915,Interior,44.2425,-88.3564,2382.68,1493.12,740.17,359.28,1023.96,Secret Factory,359.28
United States,Connecticut,Middletown,6457,Atlantic,41.5569,-72.6652,3561.16,1292.19,1982.8,1488.07,1666.54,Wicked Choccy's,1292.19
United States,Michigan,Jackson,49201,Interior,42.2545,-84.3875,2613.8,1168.66,1129.16,519.42,929.36,Secret Factory,519.42
United States,Texas,San Antonio,78207,Interior,29.4229,-98.526,1316.4,1690.32,2088.58,1517.39,1022.93,The Other Factory,1022.93
United States,Illinois,Freeport,61032,Interior,42.2991,-89.6345,2204.12,1364.1,825.09,122.2,799.09,Secret Factory,122.2
United States,Massachusetts,Lawrence,1841,Atlantic,42.7115,-71.167,3691.62,1469.67,2032.55,1603.6,1827.29,Wicked Choccy's,1469.67
Canada,Ontario,Toronto,M3C,Atlantic,43.7334,-79.3329,3051.7,1305.25,1387.86,953.2,1321.76,Secret Factory,953.2
United States,Washington,Kent,98031,Pacific,47.388,-122.1932,1836.61,3847.79,1937.05,2577.82,2990.21,Lot's O' Nuts,1836.61
United States,Texas,Fort Worth,76106,Interior,32.7968,-97.356,1345.43,1527.27,1706.61,1133.79,728.12,The Other Factory,728.12
United States,New York,Watertown,13601,Atlantic,43.9743,-75.9122,3326.11,1397.77,1625.32,1228.0,1552.82,Secret Factory,1228.0
United States,Wisconsin,Milwaukee,53209,Interior,43.1188,-87.9478,2365.41,1367.33,847.19,284.51,906.58,Secret Factory,284.51
United States,Massachusetts,Franklin,2038,Atlantic,42.0935,-71.4058,3668.29,1404.52,2045.93,1587.25,1784.91,Wicked Choccy's,1404.52
United States,Florida,Hialeah,33012,Gulf,25.8654,-80.3059,3134.16,694.78,2835.18,1972.21,1382.65,Wicked Choccy's,694.78
United States,Utah,West Jordan,84084,Pacific,40.6254,-111.9677,861.22,2906.54,1501.73,1792.84,2019.29,Lot's O' Nuts,861.22
United States,California,Oakland,94601,Pacific,37.7806,-122.2166,1092.21,3772.04,2394.09,2726.22,2885.01,Lot's O' Nuts,1092.21
United States,Wisconsin,Eau Claire,54703,Interior,44.8346,-91.5159,2189.94,1681.16,510.7,384.56,1088.42,Secret Factory,384.56
United States,Ohio,Akron,44312,Atlantic,41.0334,-81.4385,2826.42,996.49,1404.92,764.17,994.36,Secret Factory,764.17
United States,Ohio,Cleveland,44105,Atlantic,41.4509,-81.619,2819.12,1043.49,1364.24,745.32,1012.65,Secret Factory,745.32
United States,Michigan,Midland,48640,Interior,43.6376,-84.268,2665.32,1315.24,1046.62,570.37,1066.03,Secret Factory,570.37
United States,New Hampshire,Dover,3820,Atlantic,43.1888,-70.8868,3717.87,1525.14,2030.63,1625.73,1868.16,Wicked Choccy's,1525.14
United States,Texas,San Marcos,78666,Interior,29.8754,-97.9404,1353.44,1623.42,2034.16,1447.51,947.23,The Other Factory,947.23
Canada,British Columbia,Vancouver,V6Z,Pacific,49.2767,-123.13,2051.51,3959.49,1971.5,2664.79,3116.57,Sugar Shack,1971.5
Canada,Quebec,Montreal,H1A,Atlantic,45.6753,-73.5016,3545.59,1646.72,1737.97,1449.75,1816.66,Secret Factory,1449.75
United States,Washington,Bellevue,98006,Pacific,47.5614,-122.1552,1851.43,3848.79,1930.32,2576.1,2992.62,Lot's O' Nuts,1851.43
United States,Illinois,Chicago,60623,Interior,41.849,-87.7157,2337.19,1234.99,962.92,240.97,773.74,Secret Factory,240.97
United States,Utah,Murray,84107,Pacific,40.6568,-111.8904,864.6,2900.67,1494.46,1785.81,2013.52,Lot's O' Nuts,864.6
United States,California,San Diego,92105,Pacific,32.7423,-117.0947,497.99,3364.47,2445.84,2531.38,2508.57,Lot's O' Nuts,497.99
United States,Illinois,Buffalo Grove,60089,Interior,42.1598,-87.9644,2328.28,1275.19,923.36,229.72,802.16,Secret Factory,229.72
United States,Virginia,Richmond,23223,Gulf,37.5477,-77.3948,3147.62,695.44,1922.2,1208.84,1157.52,Wicked Choccy's,695.44
United States,Arkansas,Little Rock,72209,Gulf,34.6725,-92.3529,1802.65,1084.42,1528.4,769.25,222.78,The Other Factory,222.78
United States,New Jersey,Lakewood,8701,Atlantic,40.085,-74.2042,3425.57,1083.52,1959.57,1384.1,1492.17,Wicked Choccy's,1083.52
United States,Utah,Orem,84057,Pacific,40.3134,-111.6953,826.37,2878.35,1506.12,1776.48,1990.44,Lot's O' Nuts,826.37
United States,Illinois,Aurora,60505,Interior,41.7582,-88.2971,2288.21,1251.77,939.94,191.77,752.62,Secret Factory,191.77
United States,Illinois,Peoria,61604,Interior,40.7111,-89.6324,2146.85,1226.16,973.38,113.14,622.69,Secret Factory,113.14
United States,Tennessee,Bristol,37620,Gulf,36.5686,-82.1819,2723.85,509.52,1718.91,904.21,720.17,Wicked Choccy's,509.52
United States,California,Los Angeles,90032,Pacific,34.0818,-118.1753,608.91,3443.82,2399.71,2548.52,2575.46,Lot's O' Nuts,608.91
United States,Virginia,Harrisonburg,22801,Gulf,38.4489,-78.8714,3018.82,736.58,1759.36,1050.1,1054.76,Wicked Choccy's,736.58
United States,Indiana,Mishawaka,46544,Interior,41.6507,-86.1623,2454.77,1155.81,1066.28,367.09,798.5,Secret Factory,367.09
United States,New York,Hempstead,11550,Atlantic,40.7049,-73.6176,3477.39,1168.47,1963.13,1420.75,1560.25,Wicked Choccy's,1168.47
United States,Delaware,Newark,19711,Atlantic,39.7011,-75.7375,3293.57,974.82,1877.83,1265.7,1354.59,Wicked Choccy's,974.82
Canada,Nova Scotia,Halifax,B3H,Atlantic,44.6344,-63.5822,4308.98,2060.62,2511.32,2210.95,2473.36,Wicked Choccy's,2060.62
United States,Oklahoma,Lawton,73505,Interior,34.6179,-98.4552,1244.93,1635.58,1513.03,1025.73,775.78,The Other Factory,775.78
United States,Virginia,Waynesboro,22980,Gulf,38.0774,-78.9035,3015.07,696.23,1785.89,1063.82,1040.61,Wicked Choccy's,696.23
United States,Connecticut,Meriden,6450,Atlantic,41.5334,-72.7997,3549.85,1283.27,1974.36,1477.18,1655.13,Wicked Choccy's,1283.27
United States,Colorado,Pueblo,81001,Pacific,38.2879,-104.5848,884.49,2237.08,1286.26,1245.34,1348.02,Lot's O' Nuts,884.49
United States,Pennsylvania,Chester,19013,Atlantic,39.8498,-75.3747,3325.1,1005.23,1893.05,1292.11,1389.14,Wicked Choccy's,1005.23
United States,Arizona,Phoenix,85023,Pacific,33.6324,-112.1118,89.36,2892.24,2086.32,2081.47,2034.49,Lot's O' Nuts,89.36
United States,Minnesota,Minneapolis,55407,Interior,44.9378,-93.2545,2079.95,1775.01,418.57,445.18,1126.92,Sugar Shack,418.57
United States,Colorado,Louisville,80027,Pacific,39.9789,-105.1456,986.14,2325.77,1152.74,1238.16,1440.48,Lot's O' Nuts,986.14
United States,North Carolina,Concord,28027,Gulf,35.4141,-80.6162,2868.66,373.72,1906.42,1094.65,849.64,Wicked Choccy's,373.72
United States,Oregon,Salem,97301,Pacific,44.949,-123.004,1653.45,3866.53,2070.9,2640.17,2991.98,Lot's O' Nuts,1653.45
United States,Mississippi,Southaven,38671,Gulf,34.9771,-89.9992,2017.85,886.32,1547.94,721.04,15.82,The Other Factory,15.82
United States,Ohio,Cincinnati,45231,Atlantic,39.2418,-84.5437,2536.36,855.56,1357.28,565.98,664.22,Secret Factory,565.98
United States,New York,New York City,10011,Atlantic,40.7402,-73.9996,3445.38,1152.55,1933.85,1388.33,1530.99,Wicked Choccy's,1152.55
United States,Florida,Deltona,32725,Gulf,28.8989,-81.2473,2935.47,353.62,2491.21,1629.81,1073.75,Wicked Choccy's,353.62
United States,New Jersey,Plainfield,7060,Atlantic,40.6152,-74.415,3409.78,1121.11,1911.95,1355.89,1493.34,Wicked Choccy's,1121.11
United States,Colorado,Aurora,80013,Pacific,39.6575,-104.7846,978.89,2287.01,1164.87,1216.25,1400.61,Lot's O' Nuts,978.89
United States,Florida,Palm Coast,32137,Gulf,29.5565,-81.219,2918.22,280.45,2427.44,1567.4,1028.07,Wicked Choccy's,280.45
United States,California,El Cajon,92020,Pacific,32.7928,-116.9665,485.73,3351.77,2433.88,2518.19,2495.61,Lot's O' Nuts,485.73
United States,New York,Buffalo,14215,Atlantic,42.9335,-78.8115,3075.74,1223.73,1466.67,981.54,1295.84,Secret Factory,981.54
United States,New Jersey,Hackensack,7601,Atlantic,40.8882,-74.0503,3441.86,1163.54,1921.45,1381.72,1532.4,Wicked Choccy's,1163.54
United States,New York,Niagara Falls,14304,Atlantic,43.0908,-78.9644,3066.69,1238.87,1447.33,971.1,1297.15,Secret Factory,971.1
United States,Texas,League City,77573,Interior,29.5173,-95.0963,1627.29,1366.81,2070.51,1387.88,786.94,The Other Factory,786.94
United States,South Dakota,Sioux Falls,57103,Interior,43.5374,-96.6864,1766.92,1865.48,510.96,552.93,1099.19,Sugar Shack,510.96
