Country/Region,State/Province,City,Postal Code,Region
Canada,Alberta,Calgary,T1Y,Pacific
Canada,Alberta,Edmonton,T5A,Pacific
United States,Indiana,Indianapolis,46203,Interior
United States,North Carolina,Jacksonville,28540,Gulf
United States,California,Manteca,95336,Pacific
United States,California,Pasadena,91104,Pacific
United States,Washington,Edmonds,98026,Pacific
United States,New York,Mount Vernon,10550,Atlantic
United States,Massachusetts,Everett,2149,Atlantic
United States,New Hampshire,Concord,3301,Atlantic
United States,Ohio,Parma,44134,Atlantic
United States,Texas,Beaumont,77705,Interior
United States,Alabama,Montgomery,36116,Gulf
United States,Arkansas,Texarkana,71854,Gulf
United States,California,Lakewood,90712,Pacific
Canada,British Columbia,Vancouver,V6G,Pacific
United States,Virginia,Newport News,23602,Gulf
United States,California,Rancho Cucamonga,91730,Pacific
United States,South Carolina,Rock Hill,29730,Gulf
United States,Florida,Fort Lauderdale,33311,Gulf
United States,Kansas,Garden City,67846,Interior
United States,Indiana,Columbus,47201,Interior
United States,Rhode Island,Cranston,2920,Atlantic
United States,Ohio,Lorain,44052,Atlantic
United States,Arizona,Avondale,85323,Pacific
United States,Ohio,Mason,45040,Atlantic
United States,New Jersey,Orange,7050,Atlantic
United States,Oregon,Portland,97206,Pacific
United States,Ohio,Medina,44256,Atlantic
United States,Texas,Irving,75061,Interior
United States,Tennessee,Nashville,37211,Gulf
United States,Wisconsin,Wausau,54401,Interior
United States,California,Redding,96003,Pacific
United States,Pennsylvania,Reading,19601,Atlantic
United States,Wisconsin,Madison,53711,Interior
United States,Texas,Carrollton,75007,Interior
United States,Texas,Pasadena,77506,Interior
United States,Tennessee,Johnson City,37604,Gulf
United States,Kansas,Manhattan,66502,Interior
United States,Minnesota,Moorhead,56560,Interior
United States,Texas,Cedar Hill,75104,Interior
United States,Illinois,Des Plaines,60016,Interior
United States,Wisconsin,Franklin,53132,Interior
United States,Utah,Provo,84604,Pacific
United States,Delaware,Wilmington,19805,Atlantic
United States,Utah,Salt Lake City,84106,Pacific
United States,Minnesota,Coon Rapids,55433,Interior
United States,Louisiana,Monroe,71203,Gulf
United States,Illinois,Bolingbrook,60440,Interior
United States,California,Sacramento,95823,Pacific
United States,Missouri,Saint Louis,63116,Interior
Canada,Newfoundland and Labrador,St. John's,A0A,Atlantic
United States,Rhode Island,Woonsocket,2895,Atlantic
United States,California,Brentwood,94513,Pacific
United States,New York,Utica,13501,Atlantic
United States,Oregon,Tigard,97224,Pacific
United States,New York,Freeport,11520,Atlantic
United States,Illinois,Skokie,60076,Interior
United States,Florida,Orlando,32839,Gulf
United States,Maryland,Clinton,20735,Atlantic
United States,Georgia,Sandy Springs,30328,Gulf
Canada,New Brunswick,Moncton,E1A,Atlantic
United States,Oklahoma,Oklahoma City,73120,Interior
Canada,British Columbia,Vancouver,V6B,Pacific
United States,Arizona,Gilbert,85234,Pacific
United States,Washington,Olympia,98502,Pacific
United States,Arizona,Mesa,85204,Pacific
United States,Idaho,Caldwell,83605,Pacific
United States,Ohio,Marion,43302,Atlantic
United States,Alabama,Florence,35630,Gulf
United States,Tennessee,Columbia,38401,Gulf
United States,Texas,Grand Prairie,75051,Interior
United States,Colorado,Thornton,80229,Pacific
Canada,British Columbia,Vancouver,V5K,Pacific
United States,Texas,Port Arthur,77642,Interior
United States,Colorado,Colorado Springs,80906,Pacific
United States,Massachusetts,Beverly,1915,Atlantic
United States,California,Anaheim,92804,Pacific
United States,Illinois,Saint Charles,60174,Interior
United States,Ohio,Kent,44240,Atlantic
United States,Minnesota,Cottage Grove,55016,Interior
Canada,Quebec,Quebec City,G1B,Atlantic
United States,Michigan,Taylor,48180,Interior
Canada,Prince Edward Island,Charlottetown,C0A,Atlantic
United States,Rhode Island,Providence,2908,Atlantic
United States,Texas,Baytown,77520,Interior
United States,Minnesota,Woodbury,55125,Interior
United States,Illinois,Park Ridge,60068,Interior
United States,Tennessee,Bartlett,38134,Gulf
United States,Montana,Bozeman,59715,Pacific
United States,Florida,West Palm Beach,33407,Gulf
United States,New York,Rome,13440,Atlantic
United States,Virginia,Suffolk,23434,Gulf
United States,Wisconsin,Kenosha,53142,Interior
United States,New Jersey,Perth Amboy,8861,Atlantic
United States,Arkansas,Hot Springs,71901,Gulf
United States,New Mexico,Las Cruces,88001,Pacific
United States,Michigan,Sterling Heights,48310,Interior
United States,Massachusetts,Leominster,1453,Atlantic
United States,Pennsylvania,Altoona,16602,Atlantic
United States,Texas,Coppell,75019,Interior
United States,Pennsylvania,Bethlehem,18018,Atlantic
United States,Indiana,New Castle,47362,Interior
United States,Florida,Plantation,33317,Gulf
United States,California,Chico,95928,Pacific
United States,Utah,Lehi,84043,Pacific
United States,Alabama,Auburn,36830,Gulf
United States,California,San Bernardino,92404,Pacific
United States,California,Lancaster,93534,Pacific
United States,Alabama,Huntsville,35810,Gulf
United States,California,Thousand Oaks,91360,Pacific
United States,South Carolina,Florence,29501,Gulf
United States,Washington,Covington,98042,Pacific
United States,Florida,Coral Springs,33065,Gulf
United States,Florida,Miami,33142,Gulf
United States,Illinois,Normal,61761,Interior
United States,Michigan,Lansing,48911,Interior
United States,Washington,Spokane,99207,Pacific
United States,Connecticut,Norwich,6360,Atlantic
United States,Nebraska,Norfolk,68701,Interior
United States,New Mexico,Farmington,87401,Pacific
United States,Texas,Mcallen,78501,Interior
United States,Indiana,New Albany,47150,Interior
United States,California,Santa Maria,93454,Pacific
United States,Florida,Daytona Beach,32114,Gulf
United States,District of Columbia,Washington,20016,Atlantic
United States,Ohio,Troy,45373,Atlantic
United States,Illinois,Tinley Park,60477,Interior
United States,Texas,Allen,75002,Interior
United States,Ohio,Cuyahoga Falls,44221,Atlantic
United States,California,Camarillo,93010,Pacific
United States,North Carolina,Wilson,27893,Gulf
United States,Illinois,Frankfort,60423,Interior
United States,Kansas,Wichita,67212,Interior
United States,Texas,Haltom City,76117,Interior
United States,Connecticut,Manchester,6040,Atlantic
United States,New Jersey,Paterson,7501,Atlantic
United States,Idaho,Pocatello,83201,Pacific
United States,Maine,Lewiston,4240,Atlantic
United States,Arizona,Peoria,85345,Pacific
United States,Utah,Layton,84041,Pacific
United States,Georgia,East Point,30344,Gulf
United States,Georgia,Smyrna,30080,Gulf
United States,Illinois,Carol Stream,60188,Interior
United States,Massachusetts,Holyoke,1040,Atlantic
United States,New Jersey,Vineland,8360,Atlantic
United States,Texas,Amarillo,79109,Interior
United States,California,Bakersfield,93309,Pacific
United States,Florida,Port Saint Lucie,34952,Gulf
United States,Illinois,Highland Park,60035,Interior
United States,Indiana,South Bend,46614,Interior
United States,Mississippi,Hattiesburg,39401,Gulf
United States,Missouri,Kirkwood,63122,Interior
United States,Idaho,Boise,83704,Pacific
United States,Oregon,Redmond,97756,Pacific
United States,Minnesota,Eagan,55122,Interior
United States,California,Yucaipa,92399,Pacific
United States,Massachusetts,New Bedford,2740,Atlantic
United States,Kentucky,Florence,41042,Gulf
United States,Pennsylvania,Allentown,18103,Atlantic
United States,California,Murrieta,92563,Pacific
United States,Texas,Bedford,76021,Interior
United States,Michigan,Holland,49423,Interior
United States,Virginia,Charlottesville,22901,Gulf
United States,Minnesota,Rochester,55901,Interior
United States,Florida,Tamarac,33319,Gulf
United States,California,La Quinta,92253,Pacific
United States,California,Redlands,92374,Pacific
United States,New York,Auburn,13021,Atlantic
United States,South Carolina,North Charleston,29406,Gulf
United States,Michigan,Lincoln Park,48146,Interior
United States,Massachusetts,Quincy,2169,Atlantic
United States,California,Oceanside,92054,Pacific
United States,Tennessee,Franklin,37064,Gulf
United States,Iowa,Dubuque,52001,Interior
United States,Oklahoma,Broken Arrow,74012,Interior
United States,Illinois,Rockford,61107,Interior
United States,Tennessee,Murfreesboro,37130,Gulf
United States,New Jersey,Bayonne,7002,Atlantic
United States,Massachusetts,Cambridge,2138,Atlantic
United States,Illinois,Quincy,62301,Interior
United States,Oregon,Hillsboro,97123,Pacific
United States,Maryland,Rockville,20852,Atlantic
United States,Georgia,Warner Robins,31088,Gulf
United States,Michigan,Ann Arbor,48104,Interior
United States,California,Santa Barbara,93101,Pacific
United States,Indiana,Noblesville,46060,Interior
United States,Michigan,Mount Pleasant,48858,Interior
United States,Illinois,Orland Park,60462,Interior
United States,Nevada,Sparks,89431,Pacific
United States,California,Salinas,93905,Pacific
United States,Arkansas,Conway,72032,Gulf
United States,North Carolina,Monroe,28110,Gulf
United States,Vermont,Burlington,5401,Atlantic
United States,Indiana,Lawrence,46226,Interior
United States,Minnesota,Roseville,55113,Interior
United States,Montana,Helena,59601,Pacific
United States,Tennessee,Lebanon,37087,Gulf
United States,New Mexico,Rio Rancho,87124,Pacific
United States,Texas,Frisco,75034,Interior
United States,New Jersey,Morristown,7960,Atlantic
United States,Tennessee,Jackson,38301,Gulf
United States,California,Lake Elsinore,92530,Pacific
United States,Florida,Pembroke Pines,33024,Gulf
United States,Illinois,Champaign,61821,Interior
United States,Michigan,Dearborn,48126,Interior
United States,California,Santa Ana,92704,Pacific
United States,Florida,Tallahassee,32303,Gulf
United States,California,Temecula,92592,Pacific
United States,California,Costa Mesa,92627,Pacific
United States,Illinois,Glenview,60025,Interior
United States,Arizona,Bullhead City,86442,Pacific
United States,New York,Lindenhurst,11757,Atlantic
United States,Wisconsin,Superior,54880,Interior
United States,Ohio,Dublin,43017,Atlantic
United States,California,Visalia,93277,Pacific
United States,Montana,Missoula,59801,Pacific
United States,Maryland,Gaithersburg,20877,Atlantic
United States,Washington,Longview,98632,Pacific
United States,New Jersey,Westfield,7090,Atlantic
United States,Mississippi,Gulfport,39503,Gulf
United States,New Jersey,Atlantic City,8401,Atlantic
United States,Arizona,Sierra Vista,85635,Pacific
United States,Tennessee,Chattanooga,37421,Gulf
United States,New Jersey,Belleville,7109,Atlantic
United States,Wisconsin,La Crosse,54601,Interior
United States,Texas,Round Rock,78664,Interior
United States,Massachusetts,Andover,1810,Atlantic
United States,Connecticut,Milford,6460,Atlantic
United States,Texas,Harlingen,78550,Interior
United States,California,Redwood City,94061,Pacific
United States,Texas,Bryan,77803,Interior
United States,Massachusetts,Malden,2148,Atlantic
United States,Colorado,Littleton,80122,Pacific
United States,Missouri,Saint Peters,63376,Interior
United States,Oklahoma,Norman,73071,Interior
United States,Texas,Grapevine,76051,Interior
United States,North Carolina,Gastonia,28052,Gulf
Canada,British Columbia,Vancouver,V6E,Pacific
United States,Missouri,Jefferson City,65109,Interior
United States,California,San Clemente,92672,Pacific
United States,California,Hesperia,92345,Pacific
United States,Nevada,Henderson,89015,Pacific
United States,California,Encinitas,92024,Pacific
United States,Virginia,Salem,24153,Gulf
United States,Arizona,Yuma,85364,Pacific
United States,Connecticut,Waterbury,6708,Atlantic
United States,Rhode Island,Warwick,2886,Atlantic
United States,New Jersey,Passaic,7055,Atlantic
United States,Colorado,Parker,80134,Pacific
United States,Colorado,Longmont,80501,Pacific
United States,Pennsylvania,York,17403,Atlantic
United States,Michigan,Roseville,48066,Interior
United States,Colorado,Broomfield,80020,Pacific
Canada,Manitoba,Winnipeg,R0H,Interior
United States,Kentucky,Bowling Green,42104,Gulf
United States,Florida,Pensacola,32503,Gulf
United States,Tennessee,Hendersonville,37075,Gulf
United States,Wisconsin,West Allis,53214,Interior
United States,Louisiana,Kenner,70065,Gulf
United States,California,Davis,95616,Pacific
United States,Texas,Edinburg,78539,Interior
United States,Colorado,Fort Collins,80525,Pacific
United States,Texas,Pharr,78577,Interior
United States,Wisconsin,Sheboygan,53081,Interior
United States,Colorado,Englewood,80112,Pacific
United States,Texas,Waco,76706,Interior
United States,Wisconsin,Waukesha,53186,Interior
United States,Kentucky,Georgetown,40324,Gulf
United States,Iowa,Cedar Rapids,52402,Interior
United States,Minnesota,Saint Paul,55106,Interior
United States,North Carolina,Thomasville,27360,Gulf
United States,Illinois,Wheeling,60090,Interior
United States,California,Stockton,95207,Pacific
United States,Colorado,Arvada,80004,Pacific
United States,Idaho,Twin Falls,83301,Pacific
United States,California,Laguna Niguel,92677,Pacific
United States,Massachusetts,Marlborough,1752,Atlantic
United States,Washington,Redmond,98052,Pacific
United States,California,Woodland,95695,Pacific
Canada,Saskatchewan,Regina,S0G,Pacific
United States,Iowa,Iowa City,52240,Interior
United States,Indiana,La Porte,46350,Interior
United States,California,Lake Forest,92630,Pacific
United States,Florida,Coral Gables,33134,Gulf
United States,Texas,The Colony,75056,Interior
United States,Washington,Marysville,98270,Pacific
United States,Texas,La Porte,77571,Interior
Canada,Manitoba,Winnipeg,R3R,Interior
United States,New Jersey,Bridgeton,8302,Atlantic
United States,California,San Luis Obispo,93405,Pacific
United States,Texas,Conroe,77301,Interior
United States,Iowa,Urbandale,50322,Interior
United States,Oregon,Eugene,97405,Pacific
United States,Wyoming,Cheyenne,82001,Pacific
United States,Illinois,Arlington Heights,60004,Interior
United States,Washington,Auburn,98002,Pacific
United States,Washington,Vancouver,98661,Pacific
United States,North Carolina,Burlington,27217,Gulf
United States,New Mexico,Carlsbad,88220,Pacific
United States,Oklahoma,Edmond,73034,Interior
United States,California,Montebello,90640,Pacific
United States,Connecticut,Shelton,6484,Atlantic
United States,New Jersey,East Orange,7017,Atlantic
United States,Kansas,Overland Park,66212,Interior
United States,North Carolina,Hickory,28601,Gulf
United States,Texas,San Angelo,76903,Interior
United States,Iowa,Marion,52302,Interior
United States,California,Morgan Hill,95037,Pacific
United States,Kentucky,Murray,42071,Gulf
United States,California,Antioch,94509,Pacific
United States,Texas,Richardson,75080,Interior
United States,Nebraska,Fremont,68025,Interior
United States,Indiana,Greenwood,46142,Interior
United States,Florida,Homestead,33030,Gulf
United States,California,Torrance,90503,Pacific
United States,California,Apple Valley,92307,Pacific
United States,North Carolina,Goldsboro,27534,Gulf
United States,New Hampshire,Nashua,3060,Atlantic
United States,Texas,Deer Park,77536,Interior
United States,Alabama,Tuscaloosa,35401,Gulf
United States,Florida,Ormond Beach,32174,Gulf
United States,Texas,Keller,76248,Interior
United States,Alabama,Hoover,35244,Gulf
United States,Oklahoma,Muskogee,74403,Interior
United States,Arkansas,Rogers,72756,Gulf
United States,Florida,Pompano Beach,33068,Gulf
United States,California,Fairfield,94533,Pacific
United States,Michigan,Oak Park,48237,Interior
United States,New Jersey,New Brunswick,8901,Atlantic
United States,Colorado,Greeley,80634,Pacific
United States,Florida,Kissimmee,34741,Gulf
United States,Florida,Sanford,32771,Gulf
United States,Illinois,Danville,61832,Interior
United States,California,Westminster,92683,Pacific
United States,Texas,Mansfield,76063,Interior
United States,North Dakota,Fargo,58103,Interior
United States,Maryland,Laurel,20707,Atlantic
United States,Washington,Bellingham,98226,Pacific
United States,Texas,Missouri City,77489,Interior
United States,Texas,Pearland,77581,Interior
United States,Michigan,Rochester Hills,48307,Interior
United States,Minnesota,Maple Grove,55369,Interior
United States,North Carolina,Chapel Hill,27514,Gulf
United States,Colorado,Commerce City,80022,Pacific
United States,West Virginia,Wheeling,26003,Atlantic
United States,California,Citrus Heights,95610,Pacific
United States,California,Pico Rivera,90660,Pacific
United States,California,San Mateo,94403,Pacific
United States,Iowa,Waterloo,50701,Interior
United States,Indiana,Elkhart,46514,Interior
United States,Colorado,Loveland,80538,Pacific
United States,California,Inglewood,90301,Pacific
United States,California,La Mesa,91941,Pacific
United States,California,Modesto,95351,Pacific
United States,Missouri,Independence,64055,Interior
United States,New Mexico,Clovis,88101,Pacific
United States,Nebraska,Grand Island,68801,Interior
United States,Florida,Melbourne,32935,Gulf
United States,Arkansas,Pine Bluff,71603,Gulf
United States,Minnesota,Saint Cloud,56301,Interior
United States,Florida,Miramar,33023,Gulf
United States,Ohio,Mentor,44060,Atlantic
United States,Idaho,Meridian,83642,Pacific
United States,California,Danville,94526,Pacific
United States,Arkansas,Springdale,72762,Gulf
United States,California,Sunnyvale,94086,Pacific
United States,California,Coachella,92236,Pacific
United States,South Dakota,Aberdeen,57401,Interior
United States,Florida,Jupiter,33458,Gulf
United States,California,Dublin,94568,Pacific
United States,Ohio,Grove City,43123,Atlantic
United States,Ohio,Elyria,44035,Atlantic
United States,Maryland,Hagerstown,21740,Atlantic
United States,Michigan,Saginaw,48601,Interior
United States,Texas,College Station,77840,Interior
United States,California,Ontario,91761,Pacific
United States,Washington,Renton,98059,Pacific
United States,Michigan,Canton,48187,Interior
United States,South Carolina,Summerville,29483,Gulf
United States,Missouri,Gladstone,64118,Interior
United States,California,Whittier,90604,Pacific
United States,Texas,Abilene,79605,Interior
United States,Iowa,Burlington,52601,Interior
United States,Illinois,Palatine,60067,Interior
